Aurora;39.0677;-84.9046;;Aurora39.0677-84.9046
Dugger;39.0704;-87.259;;Dugger39.0704-87.259
Holton;39.0752;-85.3847;;Holton39.0752-85.3847
Scipio;39.0771;-85.716;;Scipio39.0771-85.716
Sullivan;39.0973;-87.4074;;Sullivan39.0973-87.4074
Lawrenceburg;39.0986;-84.8713;;Lawrenceburg39.0986-84.8713
Hutsonville;39.1084;-87.6609;;Hutsonville39.1084-87.6609
Moores Hill;39.1129;-85.0893;;Moores Hill39.1129-85.0893
Worthington;39.1184;-86.9798;;Worthington39.1184-86.9798
Yale;39.1203;-88.0246;;Yale39.1203-88.0246
Milan;39.1255;-85.127;;Milan39.1255-85.127
Osgood;39.1291;-85.292;;Osgood39.1291-85.292
Greendale;39.1317;-84.851;;Greendale39.1317-84.851
Elizabethtown;39.1351;-85.8125;;Elizabethtown39.1351-85.8125
Annapolis;39.1452;-87.8154;;Annapolis39.1452-87.8154
Jasonville;39.162;-87.1998;;Jasonville39.162-87.1998
Elizabethtown;39.1621;-84.8037;;Elizabethtown39.1621-84.8037
Bloomington;39.1637;-86.5257;;Bloomington39.1637-86.5257
Hidden Valley;39.1673;-84.8444;;Hidden Valley39.1673-84.8444
West York;39.1689;-87.673;;West York39.1689-87.673
Westport;39.1767;-85.5747;;Westport39.1767-85.5747
Shelburn;39.1791;-87.3971;;Shelburn39.1791-87.3971
Hymera;39.1859;-87.2989;;Hymera39.1859-87.2989
Coalmont;39.1931;-87.2265;;Coalmont39.1931-87.2265
Napoleon;39.2039;-85.3272;;Napoleon39.2039-85.3272
Nashville;39.2079;-86.2383;;Nashville39.2079-86.2383
Columbus;39.2093;-85.9183;;Columbus39.2093-85.9183
Millhousen;39.2115;-85.435;;Millhousen39.2115-85.435
West Union;39.215;-87.6657;;West Union39.215-87.6657
Bright;39.2254;-84.8613;;Bright39.2254-84.8613
Ellettsville;39.2322;-86.6232;;Ellettsville39.2322-86.6232
Sunman;39.2373;-85.0931;;Sunman39.2373-85.0931
Farmersburg;39.2526;-87.3807;;Farmersburg39.2526-87.3807
West Harrison;39.2581;-84.8226;;West Harrison39.2581-84.8226
Harrison;39.2582;-84.7868;;Harrison39.2582-84.7868
Hartsville;39.2669;-85.6992;;Hartsville39.2669-85.6992
Clay City;39.277;-87.1127;;Clay City39.277-87.1127
Clifford;39.2827;-85.8691;;Clifford39.2827-85.8691
Spencer;39.2862;-86.7726;;Spencer39.2862-86.7726
St. Leon;39.2935;-84.9641;;St. Leon39.2935-84.9641
Taylorsville;39.2964;-85.9503;;Taylorsville39.2964-85.9503
Batesville;39.2974;-85.2139;;Batesville39.2974-85.2139
Hope;39.2993;-85.766;;Hope39.2993-85.766
Stinesville;39.2999;-86.6498;;Stinesville39.2999-86.6498
Casey;39.3027;-87.9895;;Casey39.3027-87.9895
Cordry Sweetwater Lakes;39.3085;-86.1227;;Cordry Sweetwater Lakes39.3085-86.1227
New Trenton;39.3088;-84.8968;;New Trenton39.3088-84.8968
New Point;39.3098;-85.3271;;New Point39.3098-85.3271
Martinsville;39.3381;-87.8814;;Martinsville39.3381-87.8814
Oldenburg;39.3388;-85.2041;;Oldenburg39.3388-85.2041
Gosport;39.3507;-86.6665;;Gosport39.3507-86.6665
Edinburgh;39.3509;-85.9625;;Edinburgh39.3509-85.9625
Prince's Lakes;39.3514;-86.1094;;Prince's Lakes39.3514-86.1094
Greensburg;39.3515;-85.5024;;Greensburg39.3515-85.5024
Cedar Grove;39.356;-84.9372;;Cedar Grove39.356-84.9372
Morgantown;39.3729;-86.2585;;Morgantown39.3729-86.2585
Riley;39.3897;-87.3002;;Riley39.3897-87.3002
Paragon;39.3952;-86.5627;;Paragon39.3952-86.5627
Painted Hills;39.3963;-86.3494;;Painted Hills39.3963-86.3494
Marshall;39.3984;-87.6899;;Marshall39.3984-87.6899
Mount Carmel;39.4076;-84.8755;;Mount Carmel39.4076-84.8755
Lake Santee;39.4078;-85.3066;;Lake Santee39.4078-85.3066
Trafalgar;39.4124;-86.1499;;Trafalgar39.4124-86.1499
Center Point;39.4154;-87.0752;;Center Point39.4154-87.0752
Martinsville;39.4228;-86.4208;;Martinsville39.4228-86.4208
Brookville;39.423;-85.0105;;Brookville39.423-85.0105
St. Paul;39.4282;-85.6287;;St. Paul39.4282-85.6287
Clarksburg;39.4354;-85.3471;;Clarksburg39.4354-85.3471
Metamora;39.4481;-85.1378;;Metamora39.4481-85.1378
Waldron;39.4535;-85.6629;;Waldron39.4535-85.6629
Westfield;39.4555;-87.9963;;Westfield39.4555-87.9963
Toad Hop;39.4568;-87.4639;;Toad Hop39.4568-87.4639
Dresser;39.4633;-87.424;;Dresser39.4633-87.424
West Terre Haute;39.4638;-87.4506;;West Terre Haute39.4638-87.4506
Terre Haute;39.4654;-87.3763;;Terre Haute39.4654-87.3763
Staunton;39.4864;-87.1889;;Staunton39.4864-87.1889
Seelyville;39.4936;-87.2667;;Seelyville39.4936-87.2667
Franklin;39.4938;-86.0546;;Franklin39.4938-86.0546
Milroy;39.498;-85.4676;;Milroy39.498-85.4676
Laurel;39.5015;-85.1878;;Laurel39.5015-85.1878
St. Mary of the Woods;39.512;-87.4628;;St. Mary of the Woods39.512-87.4628
